Code Commune;Nom Commune;Nb -25;Nb 25-64;Nb 65+;Prop -25;Prop 25-64;Prop 65+;Taux Nat 1999-2010;Taux Mort 1999-2010
11361;Saint-Papoul;195;428;146;25.4;55.7;19;9;9.8
11362;Saint-Paulet;52;104;21;29.5;58.5;11.9;9.4;6.1
11363;Saint-Pierre-des-Champs;39;98;35;22.7;56.8;20.5;9.9;11.2
11364;Saint-Polycarpe;23;80;56;14.4;50.4;35.2;5.8;11
11365;Saint-Sernin;12;22;6;29.7;54.1;16.2;6.8;4.5
11366;Sainte-Valière;136;303;108;24.8;55.5;19.7;7.9;9.9
11367;Saissac;214;432;283;23;46.5;30.5;8.6;24
11368;Sallèles-Cabardès;22;62;26;20;56.5;23.5;10.2;13.6
11369;Sallèles-d'Aude;738;1332;510;28.6;51.6;19.8;10.6;12.9
11370;Salles-d'Aude;737;1430;666;26;50.5;23.5;9.2;11.6
11371;Salles-sur-l'Hers;178;311;125;29;50.7;20.3;11.7;8.7
11372;Salsigne;90;195;87;24.2;52.4;23.4;8.5;11.8
11373;Salvezines;10;44;20;13.5;59.5;27;3;14.9
11374;Salza;5;10;4;26.3;52.6;21.1;4.4;8.8
11375;Seignalens;6;23;4;19.4;69.4;11.1;2.2;6.6
11376;La Serpent;11;44;21;13.9;58.2;27.8;3.6;14.3
11377;Serres;10;26;12;20.8;54.2;25;3.4;17.1
11378;Serviès-en-Val;45;110;64;20.4;50.2;29.3;1.9;10
11379;Sigean;1413;2707;1258;26.3;50.3;23.4;10.4;9.2
11380;Sonnac-sur-l'Hers;44;80;35;27.5;50.6;21.9;7.1;9.6
11381;Sougraigne;23;46;13;27.5;56.3;16.3;13.8;5.5
11382;Souilhanels;165;198;42;40.7;49;10.3;12.4;5.5
11383;Souilhe;117;197;22;34.9;58.5;6.6;13;4.9
11384;Soulatgé;24;73;16;21.5;64.5;14.1;9.9;9
11385;Soupex;76;135;54;28.6;51;20.5;10.1;8.6
11386;Talairan;76;189;110;20.4;50.4;29.2;7.6;11.1
11387;Taurize;22;39;17;28.2;50;21.8;9.1;10.4
11388;Termes;11;30;8;22;62;16;5.3;12.4
11389;Terroles;0;8;6;0;53.8;46.2;0;37.5
11390;Thézan-des-Corbières;116;275;144;21.7;51.4;26.9;8;13.2
11391;La Tourette-Cabardès;5;11;6;21.7;52.2;26.1;6.7;3.3
11392;Tournissan;68;134;69;24.9;49.5;25.6;6.8;12.2
11393;Tourouzelle;114;249;114;23.9;52.2;23.9;9.1;11.4
11394;Tourreilles;29;70;22;24;57.9;18.2;8.6;7.8
11395;Trassanel;7;22;3;21.9;68.8;9.4;10.9;7.3
11396;Trausse;124;241;151;24.1;46.7;29.2;5.7;11.4
11397;Trèbes;1475;2605;1228;27.8;49.1;23.1;11.5;9.5
11398;Treilles;47;110;25;25.8;60.4;13.7;15.4;8
11399;Tréville;32;64;14;28.8;58.6;12.6;13.6;10.4
11400;Tréziers;34;58;13;32.4;55.2;12.4;14.6;7.8
11401;Tuchan;173;439;220;20.8;52.8;26.4;7;15.9
11402;Valmigère;1;10;10;4.8;47.6;47.6;4;4
11404;Ventenac-Cabardès;246;481;121;29;56.7;14.3;11;7.2
11405;Ventenac-en-Minervois;114;277;143;21.3;51.8;26.9;7.9;7
11406;Véraza;10;18;11;25.6;46.2;28.2;8.7;15.3
11407;Verdun-en-Lauragais;63;144;52;24.5;55.5;20.1;7.1;11.6
11408;Verzeille;122;249;66;27.9;56.9;15.2;15;9
11409;Vignevieille;21;53;28;21;52;27;18.2;13.9
11410;Villalier;213;498;223;22.8;53.3;23.9;9;8.9
11411;Villanière;28;87;29;19.5;60.4;20.1;6.9;16.1
11412;Villardebelle;15;33;20;21.4;48.6;30;7.7;6.4
11413;Villardonnel;118;297;120;22.1;55.4;22.5;8.8;10.6
11414;Villar-en-Val;8;21;6;23.5;58.8;17.6;5.6;8.5
11415;Villar-Saint-Anselme;26;45;24;27.6;46.9;25.5;7.7;14.4
11416;Villarzel-Cabardès;54;97;39;28.4;51;20.7;17.1;6.6
11417;Villarzel-du-Razès;17;61;17;18;64;18;3.9;5.8
11418;Villasavary;375;632;193;31.2;52.7;16.1;10.1;10.3
11419;Villautou;17;35;5;29.8;61.4;8.8;12;6.8
11420;Villebazy;30;61;22;26.5;54;19.5;11.2;7.7
11421;Villedaigne;112;212;128;24.7;47;28.3;6.7;13.5
11422;Villedubert;80;193;60;24;57.9;18.1;8.9;7.7
11423;Villefloure;43;88;15;29.3;60.2;10.5;8.7;9.6
11424;Villefort;22;57;22;22;56;22;11.7;11.7
11425;Villegailhenc;492;825;317;30.1;50.5;19.4;10.9;8.6
11426;Villegly;304;570;177;28.9;54.2;16.8;9.6;5.3
11427;Villelongue-d'Aude;72;182;71;22.2;56;21.8;9.7;7.9
11428;Villemagne;82;155;46;29;54.8;16.3;11.6;8.6
11429;Villemoustaussou;991;1879;609;28.5;54;17.5;9.5;8.1
11430;Villeneuve-la-Comptal;361;669;196;29.5;54.6;16;9.2;6.5
11431;Villeneuve-les-Corbières;72;130;65;27;48.7;24.3;9.4;13
11432;Villeneuve-lès-Montréal;78;135;46;30.1;52.2;17.7;15.9;8
11433;Villeneuve-Minervois;289;501;242;28;48.5;23.4;7.5;9
11434;Villepinte;377;644;211;30.6;52.3;17.1;12;8.2
11435;Villerouge-Termenès;30;76;49;19.6;48.7;31.6;9.3;16.8
11436;Villesèque-des-Corbières;110;212;74;27.8;53.6;18.6;11.7;11
11437;Villesèquelande;273;422;126;33.3;51.4;15.3;14.2;7.4
11438;Villesiscle;103;181;67;29.3;51.5;19.2;11.1;7.3
11439;Villespy;89;176;81;25.7;50.9;23.4;7.7;10.6
11440;Villetritouls;5;22;12;13.5;56.8;29.7;0;12.8
11441;Vinassan;716;1343;440;28.7;53.7;17.6;9.3;6.6
12001;Agen-d'Aveyron;303;612;162;28.1;56.8;15.1;11.1;6.5
12002;Aguessac;248;467;145;28.8;54.4;16.9;11.3;7.9
12003;Les Albres;69;159;109;20.5;47.2;32.3;6.5;9
12004;Almont-les-Junies;127;232;127;26.1;47.7;26.1;10.8;8
12006;Alrance;93;180;127;23.3;45;31.7;7.6;10.7
12007;Ambeyrac;39;86;60;21.1;46.5;32.4;10.1;12.6
12008;Anglars-Saint-Félix;198;371;140;27.9;52.3;19.7;14.4;8.9
12009;Arnac-sur-Dourdou;2;12;13;8.1;43.2;48.6;3.2;9.5
12010;Arques;25;68;25;21.2;57.6;21.2;7.5;9.8
12011;Arvieu;200;443;222;23.1;51.2;25.7;7.6;10.9
12012;Asprières;132;336;215;19.3;49.1;31.5;8.1;25.2
12013;Aubin;924;1923;1197;22.8;47.6;29.6;8.7;14.6
12015;Auriac-Lagast;52;118;71;21.5;48.9;29.6;5.6;11.1
12016;Auzits;186;450;226;21.6;52.2;26.2;8.2;12.1
12017;Ayssènes;29;112;73;13.4;52.5;34.1;2.9;16.1
12018;Balaguier-d'Olt;32;72;23;25.6;56.6;17.8;6.7;12.1
12019;Balaguier-sur-Rance;28;54;22;26.9;51.9;21.2;9.8;10.7
12021;Le Bas Ségala;349;842;459;21.2;51;27.8;7.5;13.3
12022;La Bastide-Pradines;23;61;27;20.7;55;24.3;5.3;6.1
12023;La Bastide-Solages;22;65;29;19;56;25;6.9;6.9
12024;Belcastel;50;115;61;22.2;50.7;27.1;6.8;11.4
12025;Belmont-sur-Rance;203;586;209;20.4;58.7;21;8.9;9.9
12026;Bertholène;266;556;177;26.7;55.7;17.7;12;8.1
12027;Bessuéjouls;65;146;36;26.3;59;14.7;8.1;8.9
12028;Boisse-Penchot;134;271;133;24.9;50.4;24.7;13.6;12.4
12029;Bor-et-Bar;35;92;61;18.7;48.9;32.4;5.6;14.4
12030;Bouillac;90;228;120;20.6;52;27.5;8.9;10.3
12031;Bournazel;85;162;74;26.6;50.5;22.9;14.4;14.7
12032;Boussac;143;270;116;27.1;50.9;22;14.1;11.4
12033;Bozouls;760;1429;571;27.5;51.8;20.7;12.7;10.3
12034;Brandonnet;68;148;93;22;47.9;30.1;7.3;10.5
12035;Brasc;48;103;53;23.6;50.2;26.1;11.2;10.7
