Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021
01434;Versailleux;18;147;17;105;25;146;12;116
01435;Versonnex;118;668;105;440;123;720;110;492
01436;Vesancy;38;169;22;106;41;162;24;101
01437;Vescours;16;64;9;41;14;58;4;38
01439;Vésines;5;33;7;21;4;26;2;18
01441;Vieu-d'Izenave;32;220;33;135;51;210;33;145
01443;Villars-les-Dombes;301;1571;294;963;314;1474;251;922
01444;Villebois;91;385;53;253;79;361;47;224
01445;Villemotier;43;200;37;119;45;180;25;112
01446;Villeneuve;87;527;100;331;95;514;95;332
01447;Villereversure;95;394;62;245;87;388;54;239
01448;Villes;22;147;27;90;29;120;14;84
01449;Villette-sur-Ain;56;245;42;140;62;228;28;143
01450;Villieu-Loyes-Mollon;236;1128;170;716;241;1202;199;766
01451;Viriat;470;2045;373;1195;478;2053;349;1233
01452;Virieu-le-Grand;93;340;49;229;62;367;69;206
01453;Arvière-en-Valromey;59;224;32;124;68;201;20;123
01454;Virignin;74;363;68;225;70;363;54;234
01456;Vongnes;8;14;0;9;5;18;2;8
01457;Vonnas;200;945;225;539;181;914;178;536
02001;Abbécourt;32;165;25;105;35;159;24;103
02002;Achery;37;193;47;107;39;183;43;103
02003;Acy;71;323;57;201;64;309;54;185
02004;Agnicourt-et-Séchelles;21;57;13;30;14;60;7;32
02005;Aguilcourt;29;114;16;75;23;122;18;75
02006;Aisonville-et-Bernoville;22;87;12;53;22;81;12;47
02007;Aizelles;7;44;3;25;15;36;4;24
02008;Aizy-Jouy;20;99;17;65;17;93;9;64
02009;Alaincourt;27;156;28;102;25;143;21;95
02010;Allemant;11;61;15;29;18;56;10;34
02011;Ambleny;75;364;61;214;89;366;60;231
02012;Ambrief;5;30;2;19;9;24;2;16
02013;Amifontaine;32;138;29;73;36;122;19;72
02014;Amigny-Rouy;53;215;30;139;47;210;26;131
02015;Ancienville;7;23;3;14;7;23;2;15
02016;Andelain;17;65;13;42;10;67;10;40
02017;Anguilcourt-le-Sart;14;85;12;61;13;96;14;68
02018;Anizy-le-Grand;172;744;169;406;170;765;151;442
02019;Annois;27;104;18;58;29;106;18;62
02020;Any-Martin-Rieux;31;135;29;74;32;131;20;80
