Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010
01359;Saint-Germain-sur-Renon;90;17;53;20;80;8;48;24
01360;Saint-Jean-de-Gonville;539;56;389;95;496;65;342;90
01361;Saint-Jean-de-Niost;501;92;316;92;463;59;326;77
01362;Saint-Jean-de-Thurigneux;237;41;154;42;225;24;159;42
01363;Saint-Jean-le-Vieux;533;81;345;107;497;66;340;91
01364;Saint-Jean-sur-Reyssouze;257;47;158;52;214;29;138;47
01365;Saint-Jean-sur-Veyle;350;53;214;84;356;56;216;85
01366;Sainte-Julie;287;44;204;40;294;36;209;49
01367;Saint-Julien-sur-Reyssouze;211;26;145;40;188;29;122;38
01368;Saint-Julien-sur-Veyle;223;35;150;38;221;28;152;41
01369;Saint-Just;323;60;179;84;291;42;175;74
01370;Saint-Laurent-sur-Saône;581;113;392;76;588;129;369;90
01371;Saint-Marcel;430;99;266;65;415;77;284;55
01372;Saint-Martin-de-Bavel;134;21;87;25;133;20;82;31
01373;Saint-Martin-du-Frêne;374;64;246;64;341;53;237;51
01374;Saint-Martin-du-Mont;537;61;342;134;514;66;346;101
01375;Saint-Martin-le-Châtel;257;39;176;43;254;37;177;41
01376;Saint-Maurice-de-Beynost;1188;252;750;185;1271;254;783;233
01378;Saint-Maurice-de-Gourdans;802;114;540;147;798;115;562;121
01379;Saint-Maurice-de-Rémens;229;39;150;40;215;25;149;41
01380;Saint-Nizier-le-Bouchoux;204;44;119;41;186;30;114;42
01381;Saint-Nizier-le-Désert;283;36;195;52;275;42;189;45
01382;Sainte-Olive;110;17;69;24;98;12;66;20
01383;Saint-Paul-de-Varax;491;78;303;110;504;80;343;81
