Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de natalité annuel moyen 2015-2021;Taux de mortalité annuel moyen 2015-2021;Part des pers. âgées de - 15 ans 2021;Nb de pers. âgées de - de 25 ans 2021;Part des pers. âgées de - de 25 ans 2021;Nb de pers. âgées de 25 à 64 ans 2021;Part des pers. âgées de 25 à 64 ans 2021;Nb de pers. âgées de 65 ans ou + 2021;Part des pers. âgées de 65 ans ou + 2021;Nb de pers. âgées  de 75 ans ou plus 2021;Part des pers. âgées de 75 ans ou + 2021;Nb de pers. âgées de 80 ans ou + 2021;Part des pers. âgées de 80 ans ou + 2021
01188;Illiat;10.9;7.3;24.3;231;33.5;364;52.8;94;13.7;41;5.9;27;3.9
01189;Injoux-Génissiat;11;4.8;21;340;30.3;633;56.4;150;13.3;65;5.8;33;2.9
01190;Innimond;5.1;13.5;14.7;21;23.2;44;49.5;24;27.4;9;10.5;7;7.4
01191;Izenave;8.2;9.2;18.5;39;25.3;78;50;38;24.7;17;11.1;7;4.3
01192;Izernore;9.5;6.5;19.9;703;31;1225;54;339;15;137;6;62;2.7
01193;Izieu;5.8;7.2;13.6;44;19.7;118;53.2;60;27.1;25;11.1;16;7.4
01194;Jassans-Riottier;11.5;9.6;17.7;1835;28.9;3112;49;1408;22.2;685;10.8;447;7
01195;Jasseron;9;16.2;19.4;546;29.3;870;46.8;445;23.9;237;12.8;164;8.8
01196;Jayat;10.5;4.2;21.4;412;32.7;661;52.5;186;14.8;66;5.3;41;3.3
01197;Journans;11;5;18.3;96;25.3;190;50.1;93;24.6;32;8.5;15;3.8
01198;Joyeux;12.9;4.3;20;83;31.7;146;55.9;33;12.4;10;4;6;2.4
01199;Jujurieux;11.1;12.7;18.9;645;30.4;1064;50.1;415;19.5;196;9.2;151;7.1
01200;Labalme;3.9;4.7;16.4;60;28.6;111;53.1;38;18.3;14;6.6;9;4.2
01202;Lagnieu;11.1;9.3;18.3;2081;28.6;3578;49.2;1609;22.1;768;10.6;468;6.4
01203;Laiz;8.9;5.9;19.3;370;28.5;661;50.9;269;20.7;98;7.5;46;3.5
01204;Le Poizat-Lalleyriat;9.5;5.3;22.4;242;32.4;390;52.2;115;15.4;47;6.3;24;3.3
